0.00000e+00 0.00000e+00 0.00000e+00 
0.00000e+00 1.00000e-01 0.00000e+00 
0.00000e+00 2.00000e-01 0.00000e+00 
0.00000e+00 3.00000e-01 0.00000e+00 
0.00000e+00 4.00000e-01 0.00000e+00 
0.00000e+00 5.00000e-01 0.00000e+00 
0.00000e+00 6.00000e-01 0.00000e+00 
0.00000e+00 7.00000e-01 0.00000e+00 
0.00000e+00 8.00000e-01 0.00000e+00 
0.00000e+00 9.00000e-01 0.00000e+00 
0.00000e+00 1.00000e+00 0.00000e+00 

1.00000e-01 0.00000e+00 0.00000e+00 
1.00000e-01 1.00000e-01 6.54508e-01 
1.00000e-01 2.00000e-01 2.50000e-01 
1.00000e-01 3.00000e-01 -2.50000e-01 
1.00000e-01 4.00000e-01 -6.54508e-01 
1.00000e-01 5.00000e-01 -8.09017e-01 
1.00000e-01 6.00000e-01 -6.54508e-01 
1.00000e-01 7.00000e-01 -2.50000e-01 
1.00000e-01 8.00000e-01 2.50000e-01 
1.00000e-01 9.00000e-01 6.54508e-01 
1.00000e-01 1.00000e+00 0.00000e+00 

2.00000e-01 0.00000e+00 0.00000e+00 
2.00000e-01 1.00000e-01 2.50000e-01 
2.00000e-01 2.00000e-01 9.54915e-02 
2.00000e-01 3.00000e-01 -9.54915e-02 
2.00000e-01 4.00000e-01 -2.50000e-01 
2.00000e-01 5.00000e-01 -3.09017e-01 
2.00000e-01 6.00000e-01 -2.50000e-01 
2.00000e-01 7.00000e-01 -9.54915e-02 
2.00000e-01 8.00000e-01 9.54915e-02 
2.00000e-01 9.00000e-01 2.50000e-01 
2.00000e-01 1.00000e+00 0.00000e+00 

3.00000e-01 0.00000e+00 0.00000e+00 
3.00000e-01 1.00000e-01 -2.50000e-01 
3.00000e-01 2.00000e-01 -9.54915e-02 
3.00000e-01 3.00000e-01 9.54915e-02 
3.00000e-01 4.00000e-01 2.50000e-01 
3.00000e-01 5.00000e-01 3.09017e-01 
3.00000e-01 6.00000e-01 2.50000e-01 
3.00000e-01 7.00000e-01 9.54915e-02 
3.00000e-01 8.00000e-01 -9.54915e-02 
3.00000e-01 9.00000e-01 -2.50000e-01 
3.00000e-01 1.00000e+00 0.00000e+00 

4.00000e-01 0.00000e+00 0.00000e+00 
4.00000e-01 1.00000e-01 -6.54508e-01 
4.00000e-01 2.00000e-01 -2.50000e-01 
4.00000e-01 3.00000e-01 2.50000e-01 
4.00000e-01 4.00000e-01 6.54508e-01 
4.00000e-01 5.00000e-01 8.09017e-01 
4.00000e-01 6.00000e-01 6.54508e-01 
4.00000e-01 7.00000e-01 2.50000e-01 
4.00000e-01 8.00000e-01 -2.50000e-01 
4.00000e-01 9.00000e-01 -6.54508e-01 
4.00000e-01 1.00000e+00 0.00000e+00 

5.00000e-01 0.00000e+00 0.00000e+00 
5.00000e-01 1.00000e-01 -8.09017e-01 
5.00000e-01 2.00000e-01 -3.09017e-01 
5.00000e-01 3.00000e-01 3.09017e-01 
5.00000e-01 4.00000e-01 8.09017e-01 
5.00000e-01 5.00000e-01 1.00000e+00 
5.00000e-01 6.00000e-01 8.09017e-01 
5.00000e-01 7.00000e-01 3.09017e-01 
5.00000e-01 8.00000e-01 -3.09017e-01 
5.00000e-01 9.00000e-01 -8.09017e-01 
5.00000e-01 1.00000e+00 0.00000e+00 

6.00000e-01 0.00000e+00 0.00000e+00 
6.00000e-01 1.00000e-01 -6.54508e-01 
6.00000e-01 2.00000e-01 -2.50000e-01 
6.00000e-01 3.00000e-01 2.50000e-01 
6.00000e-01 4.00000e-01 6.54508e-01 
6.00000e-01 5.00000e-01 8.09017e-01 
6.00000e-01 6.00000e-01 6.54508e-01 
6.00000e-01 7.00000e-01 2.50000e-01 
6.00000e-01 8.00000e-01 -2.50000e-01 
6.00000e-01 9.00000e-01 -6.54508e-01 
6.00000e-01 1.00000e+00 0.00000e+00 

7.00000e-01 0.00000e+00 0.00000e+00 
7.00000e-01 1.00000e-01 -2.50000e-01 
7.00000e-01 2.00000e-01 -9.54915e-02 
7.00000e-01 3.00000e-01 9.54915e-02 
7.00000e-01 4.00000e-01 2.50000e-01 
7.00000e-01 5.00000e-01 3.09017e-01 
7.00000e-01 6.00000e-01 2.50000e-01 
7.00000e-01 7.00000e-01 9.54915e-02 
7.00000e-01 8.00000e-01 -9.54915e-02 
7.00000e-01 9.00000e-01 -2.50000e-01 
7.00000e-01 1.00000e+00 0.00000e+00 

8.00000e-01 0.00000e+00 0.00000e+00 
8.00000e-01 1.00000e-01 2.50000e-01 
8.00000e-01 2.00000e-01 9.54915e-02 
8.00000e-01 3.00000e-01 -9.54915e-02 
8.00000e-01 4.00000e-01 -2.50000e-01 
8.00000e-01 5.00000e-01 -3.09017e-01 
8.00000e-01 6.00000e-01 -2.50000e-01 
8.00000e-01 7.00000e-01 -9.54915e-02 
8.00000e-01 8.00000e-01 9.54915e-02 
8.00000e-01 9.00000e-01 2.50000e-01 
8.00000e-01 1.00000e+00 0.00000e+00 

9.00000e-01 0.00000e+00 0.00000e+00 
9.00000e-01 1.00000e-01 6.54508e-01 
9.00000e-01 2.00000e-01 2.50000e-01 
9.00000e-01 3.00000e-01 -2.50000e-01 
9.00000e-01 4.00000e-01 -6.54508e-01 
9.00000e-01 5.00000e-01 -8.09017e-01 
9.00000e-01 6.00000e-01 -6.54508e-01 
9.00000e-01 7.00000e-01 -2.50000e-01 
9.00000e-01 8.00000e-01 2.50000e-01 
9.00000e-01 9.00000e-01 6.54508e-01 
9.00000e-01 1.00000e+00 0.00000e+00 

1.00000e+00 0.00000e+00 0.00000e+00 
1.00000e+00 1.00000e-01 0.00000e+00 
1.00000e+00 2.00000e-01 0.00000e+00 
1.00000e+00 3.00000e-01 0.00000e+00 
1.00000e+00 4.00000e-01 0.00000e+00 
1.00000e+00 5.00000e-01 0.00000e+00 
1.00000e+00 6.00000e-01 0.00000e+00 
1.00000e+00 7.00000e-01 0.00000e+00 
1.00000e+00 8.00000e-01 0.00000e+00 
1.00000e+00 9.00000e-01 0.00000e+00 
1.00000e+00 1.00000e+00 0.00000e+00 

